period,critical_transition,item,strategic_priority,cost_kes_millions
2024-2030,Healthy diets,i,Develop and implement policies to foster food diversification and de-risking credit and insurance.,1000.0
2024-2030,Healthy diets,ii,"Promote production, consumption, preservation and trade of diversified and nutrition-adequate diets (especially plant-rich diets).",2400.0
2024-2030,Healthy diets,iii,"Focus on the implementation of a coherent, conducive legal, regulatory and institutional framework for plant seeds, animal breeds and fingerlings production, multiplication, distribution and marketing of the outputs.",1200.0
2024-2030,Healthy diets,iv,Scale-up programs to promote and facilitate fortification or bio-fortification of widely consumed staple food.,1700.0
2024-2030,Healthy diets,v,Promote the utilisation and consumption of forgotten/orphan/indigenous foods.,1200.0
2024-2030,Healthy diets,vi,"Review and implement micronutrient, healthy diet guidelines and strategies.",1500.0
2024-2030,Productive and regenerative agriculture,i,"Review and implement a SMART fertiliser Subsidy Programme to make it more focused, cost-effective and efficient.",2150.0
2024-2030,Productive and regenerative agriculture,ii,"Promote sustainable practices in agricultural production, good soil health, biodiversity and better land use options.",2400.0
2024-2030,Productive and regenerative agriculture,iii,Climate-proofing food production and land use systems through climate change agriculture practices and insurance.,2200.0
2024-2030,Productive and regenerative agriculture,iv,"Promoting the use of diversified extension systems (VBA, MOA).",2000.0
2024-2030,Protecting and restoring nature,i,"Promote implementation of a coherent, conducive legal, regulatory and institutional framework for natural resources and strengthening land tenure and governance.",1300.0
2024-2030,Protecting and restoring nature,ii,Map land use potential for alternative land uses and relook at the land tenure system (long-term).,2400.0
2024-2030,Protecting and restoring nature,iii,Boost nature-positive production.,1800.0
2024-2030,Protecting and restoring nature,iv,Promote an integrated approach to natural resource management.,1200.0
2024-2030,Protecting and restoring nature,v,Undertake capacity building for communities to enable them to manage land use effectively.,2200.0
2024-2030,Food loss and waste,i,"Invest more in nutrition education and create SMART regulations for food safety without overburdening businesses, at both national and county levels.",1600.0
2024-2030,Food loss and waste,ii,Review and harmonise the current laws and regulations to address emerging challenges of food safety and provide for functional responsibilities along the food value chain at both national and county levels.,1400.0
2024-2030,Food loss and waste,iii,"Develop and maintain modern physical market infrastructure (assembly or wholesale, retail and rural markets) with cold storage, cleaning, sorting and grading sheds, value addition and processing facilities for efficient marketing of agricultural produce.",2400.0
2024-2030,Food loss and waste,iv,Implement actions to reduce waste and losses in production and post-harvest operations.,1200.0
2024-2030,Food loss and waste,v,Undertake sensitisation and awareness creation activities on FLW.,1200.0
2024-2030,Food loss and waste,vi,Implement actions to reduce waste and losses in production and post-harvest operations and undertake sensitisation and awareness creation activities on FLW.,1000.0
2024-2030,Food loss and waste,vii,"Facilitate compliance to enhance compliance with set agricultural, food produce and products standards.",800.0
2024-2030,Food loss and waste,viii,Enhance the capacity of surveillance institutions at national and county levels to enforce compliance with standards.,1400.0
2024-2030,Food loss and waste,ix,Harmonise and strengthen inter-agency efforts in food safety and quality control and monitoring to minimise overlaps and inter-agency conflicts.,700.0
2024-2030,Food loss and waste,x,Develop an FLW protocol and capacity-build stakeholders on reducing food loss and waste.,400.0
2024-2030,Gender and social inclusion,i,"Invest in capacity building for youth (particularly in agribusiness), producers (extension system) and women along the value chains, and set up clear contract enforcement mechanisms that protect small-scale farmers.",1375.0
2024-2030,Gender and social inclusion,ii,Promote youth and women participation and entrepreneurship in the food and land use system.,1375.0
2024-2030,Gender and social inclusion,iii,Promote enhanced youth access to productive resources and inputs.,1500.0
2024-2030,Gender and social inclusion,iv,"Promote women/youth-led food and land use research, innovation and technology adoption.",850.0
2024-2030,Gender and social inclusion,v,Promote access to markets and value addition for women/youth-led enterprises.,850.0
2024-2030,Gender and social inclusion,vi,"Strengthen youth and women leadership, capacity development and coordination in the food system.",750.0
2024-2030,Monitoring and evaluation,,Monitoring and evaluation of the action plan.,3250.0
2024-2030,Coordination of strategy implementation,,Coordination meetings for the action plan implementation.,4000.0
